address,phone,email,website
"1100 Wien--Wienerbergstraße 11, Turm A, 20. OG",Yes,Yes,Yes
8010 Graz--Schmiedgasse 2,Yes,Yes,Yes
1010 Wien--Schottenring 12,Yes,Yes,Yes
1010 Wien--Opernring 1 R Top 401-404,Yes,Yes,No
2500 Baden--Grabengasse 21,Yes,Yes,No
8990 Bad Aussee--Bahnhofstraße 132,Yes,Yes,Yes
1010 Wien--Nibelungengasse 11/12,Yes,Yes,Yes
1010 Wien--Universitätsring 10,Yes,Yes,Yes
1010 Wien--Babenbergerstraße 9/8,Yes,Yes,Yes
6020 Innsbruck--Südtiroler Platz 4,Yes,Yes,Yes
1010 Wien--Plankengasse 7/3. Stock,Yes,Yes,No
8501 Lieboch--Am Mühlbach 2,Yes,Yes,Yes
1010 Wien--Universitätsring 10,No,No,Yes
"1100 Wien--Wienerbergstraße 11,Vienna Twin Tower",Yes,Yes,Yes
3430 Tulln--Stiegengasse 8,Yes,Yes,No
3430 Tulln--Stiegengasse 8,Yes,Yes,No
4020 Linz--Hopfengasse 23,Yes,Yes,No
1030 Wien--Marokkanergasse 16/1,Yes,Yes,Yes
1010 Wien--Sterngasse 13,Yes,Yes,Yes
8010 Graz--Muchargasse 14/EG,Yes,Yes,Yes
1010 Wien--Landesgerichtsstraße 16/10,Yes,Yes,No
1010 Wien--Bösendorferstraße 7,Yes,Yes,No
3400 Klosterneuburg--Mittelweg 2,Yes,Yes,Yes
1010 Wien--Schottenring 14,Yes,Yes,Yes
1070 Wien--Mariahilfer Straße 116,Yes,Yes,Yes
1080 Wien--Wickenburggasse 3/14-15,Yes,Yes,Yes
4040 Linz--Gerstnerstraße 12,Yes,Yes,Yes
2103 Langenzersdorf--Korneuburger Straße 3,Yes,Yes,Yes
1010 Wien--Grillparzerstraße 5/12,Yes,Yes,No
1010 Wien--Wollzeile 6-8/47,Yes,Yes,No
1010 Wien--Wollzeile 6-8/47,Yes,Yes,Yes
1010 Wien--Ebendorferstraße 6/10,Yes,Yes,No
9500 Villach--Peraustraße 2/5 (1. OG),Yes,Yes,Yes
8010 Graz--Kaiser-Franz-Josef-Kai 48,Yes,Yes,No
9500 Villach--10. Oktober Straße 18,Yes,Yes,Yes
1010 Wien--Karlsplatz 3/1,Yes,Yes,Yes
5020 Salzburg--Nonntaler Hauptstraße 59,Yes,Yes,No
6020 Innsbruck--Stafflerstraße 2/EG,Yes,Yes,Yes
1010 Wien--Wipplingerstraße 10,Yes,Yes,Yes
